apple_label,semi_major_axis,semi_minor_axis,area,perimeter,eccentricity,volume
1,390.82,344.49,423441.84,2312.48,0.46,80.0
3,433.24,407.59,554853.26,2642.33,0.32,130.0
4,500.77,478.22,752388.97,3076.03,0.3,200.0
5,507.25,471.75,751812.83,3076.71,0.36,250.0
6,583.62,544.43,998243.82,3545.27,0.34,240.0
7,556.91,528.88,925372.92,3411.79,0.3,230.0
8,459.87,422.3,610090.3,2772.94,0.38,130.0
9,533.0,473.86,793549.52,3166.25,0.45,170.0
10,522.5,484.46,795196.85,3164.79,0.37,160.0
11,573.97,536.36,967143.17,3489.44,0.34,230.0
12,451.3,416.93,591078.66,2728.85,0.37,100.0
13,493.07,450.24,697594.54,2965.19,0.4,140.0
14,435.64,417.63,571580.08,2680.93,0.28,80.0
15,576.9,532.66,965306.57,3487.38,0.38,210.0
16,482.91,462.84,702253.84,2971.58,0.27,180.0
17,524.18,469.91,773848.46,3125.62,0.43,140.0
18,476.39,442.74,662748.22,2888.6,0.36,120.0
19,488.04,470.06,720682.38,3010.36,0.25,170.0
20,461.13,424.99,615562.2,2785.28,0.37,120.0
21,532.74,470.19,786695.09,3154.27,0.46,160.0
22,435.47,416.23,569409.44,2676.17,0.28,120.0
23,499.51,455.63,715106.68,3002.53,0.4,160.0
24,478.26,432.62,649969.29,2863.69,0.42,150.0
25,500.86,461.31,725765.79,3024.25,0.38,110.0
26,431.81,417.41,566256.03,2668.17,0.24,110.0
27,533.65,502.13,841954.61,3254.87,0.33,220.0
28,493.3,465.61,721637.9,3013.29,0.32,130.0
29,489.41,464.19,713751.59,2996.42,0.31,150.0
30,523.64,459.54,755767.65,3092.85,0.45,180.0
31,508.41,490.06,782891.28,3137.1,0.26,200.0
32,539.81,516.87,876594.91,3320.08,0.28,240.0
33,540.87,496.54,843361.66,3261.14,0.38,225.0
34,475.83,464.0,693723.1,2952.72,0.21,180.0
35,520.41,491.17,803306.16,3178.74,0.32,200.0
36,460.41,434.0,627893.93,2810.6,0.32,150.0
37,444.78,425.61,594736.27,2734.78,0.29,150.0
38,484.03,472.69,718875.66,3005.76,0.21,180.0
39,458.17,428.44,616811.12,2786.3,0.35,155.0
40,555.88,520.2,908639.34,3381.57,0.35,240.0
41,478.76,453.6,682105.2,2929.88,0.3,150.0
42,608.4,563.55,1077204.89,3683.32,0.37,350.0
43,469.74,447.12,659883.24,2880.92,0.3,150.0
44,496.81,473.74,739486.44,3049.51,0.3,210.0
45,506.99,478.6,762424.32,3097.15,0.32,200.0
46,531.84,501.95,838711.8,3248.57,0.32,225.0
47,535.7,501.04,843283.41,3258.06,0.34,235.0
48,466.02,444.47,650801.91,2860.9,0.29,170.0
49,499.13,470.16,737327.06,3045.86,0.33,200.0
50,481.0,436.87,659987.6,2885.5,0.41,175.0
51,481.17,459.15,694146.12,2954.56,0.29,150.0
52,481.5,444.74,672708.51,2911.22,0.38,150.0
53,479.36,452.67,681776.85,2928.68,0.33,160.0
54,479.91,442.79,667540.91,2900.16,0.37,200.0
55,490.3,472.19,727335.74,3024.11,0.26,180.0
56,449.57,399.08,563525.4,2668.88,0.44,140.0
57,469.72,429.58,633838.7,2826.88,0.39,150.0
58,469.33,430.22,634414.94,2827.52,0.39,150.0
59,401.82,372.32,469988.15,2433.02,0.37,120.0
60,444.55,411.75,575017.84,2691.27,0.37,140.0
61,446.99,416.79,585224.34,2714.61,0.35,140.0
62,471.31,450.83,667550.8,2897.39,0.29,160.0
63,431.99,379.16,515033.13,2551.36,0.46,130.0
64,377.39,345.92,410114.76,2273.59,0.39,80.0
65,365.59,345.09,396392.9,2233.21,0.32,80.0
66,347.77,319.84,349514.1,2098.34,0.39,60.0
67,373.8,343.74,403662.22,2255.33,0.39,80.0
68,350.94,324.83,358188.01,2123.86,0.37,80.0
69,517.82,490.44,797763.99,3168.27,0.31,210.0
70,464.79,455.48,665185.38,2891.21,0.19,165.0
71,428.82,391.69,527597.72,2579.23,0.4,120.0
72,463.51,440.84,641948.38,2841.59,0.31,110.0
73,434.02,399.26,544320.71,2619.14,0.38,130.0
74,395.03,375.19,465535.86,2420.24,0.29,100.0
75,445.38,421.43,589694.44,2723.74,0.32,140.0
76,520.19,482.42,788781.16,3151.01,0.37,200.0
77,499.38,474.73,744821.52,3060.82,0.3,190.0
78,488.34,465.62,714356.84,2997.48,0.29,180.0
79,508.49,489.06,781324.59,3134.23,0.27,200.0
80,528.74,490.05,814205.77,3201.94,0.37,200.0
81,451.8,433.28,614981.59,2780.97,0.27,150.0
82,471.47,422.29,625519.07,2810.25,0.43,145.0
83,489.5,417.79,642519.66,2855.47,0.5,130.0
84,486.8,467.21,714483.04,2997.49,0.27,170.0
85,431.91,401.08,544172.8,2617.98,0.36,125.0
86,404.99,368.59,469059.08,2431.84,0.4,90.0
87,479.82,446.28,673044.29,2910.5,0.36,160.0
88,488.48,446.01,684596.51,2937.57,0.4,155.0
89,501.26,477.47,751941.3,3075.38,0.29,180.0
90,443.57,423.96,590859.27,2725.84,0.29,140.0
91,508.67,475.33,759563.77,3092.43,0.34,175.0
92,458.66,423.87,610812.63,2773.72,0.38,125.0
93,512.49,479.35,771727.51,3116.95,0.34,190.0
94,496.23,461.9,720162.81,3011.08,0.36,160.0
95,473.12,389.0,578089.06,2715.92,0.54,125.0
96,459.35,419.08,604604.76,2761.31,0.4,130.0
97,407.48,389.99,499297.57,2505.69,0.28,100.0
98,500.87,479.79,754965.01,3081.29,0.27,175.0
99,462.19,438.19,636272.18,2829.19,0.31,150.0
100,395.89,383.54,477046.35,2448.84,0.24,100.0
101,439.52,371.57,512752.08,2553.45,0.51,110.0
102,454.95,431.51,616771.03,2785.41,0.31,140.0
103,482.76,437.28,663354.29,2892.36,0.42,150.0
104,551.31,495.43,858280.47,3291.29,0.42,200.0
105,503.46,457.39,723532.29,3020.45,0.41,160.0
106,448.19,425.59,599242.47,2745.6,0.31,140.0
107,503.04,470.95,744253.79,3060.88,0.34,160.0
108,498.13,468.99,734045.53,3039.03,0.33,160.0
109,472.44,430.35,638715.62,2837.96,0.4,140.0
110,388.32,374.59,456984.13,2397.04,0.25,90.0
111,471.07,398.29,589107.03,2736.82,0.5,110.0
112,467.57,410.63,603039.92,2762.18,0.47,120.0
113,498.42,439.12,687833.44,2948.5,0.47,150.0
114,525.56,477.95,789303.99,3154.66,0.4,190.0
115,428.88,396.09,533644.77,2592.91,0.37,105.0
116,489.14,445.03,683892.51,2936.72,0.4,150.0
117,499.93,449.27,705522.06,2984.47,0.42,160.0
118,499.48,480.48,754004.94,3078.93,0.27,175.0
119,529.11,488.37,811861.71,3197.89,0.38,180.0
120,416.98,397.39,520560.31,2558.82,0.3,100.0
121,487.07,450.62,689429.24,2947.31,0.36,150.0
122,529.85,493.98,822292.04,3217.63,0.35,180.0
123,560.13,533.49,938811.57,3436.28,0.3,210.0
124,522.37,497.09,815790.32,3203.33,0.3,170.0
125,505.24,488.09,774792.07,3120.9,0.25,155.0
126,492.32,456.23,705587.48,2981.35,0.35,160.0
127,502.66,475.13,750340.67,3072.55,0.32,180.0
128,460.69,395.81,572787.74,2695.05,0.5,110.0
129,473.63,456.78,679671.63,2923.27,0.25,150.0
130,509.62,455.33,728877.01,3034.27,0.43,160.0
