apple_label,semi_major_axis,semi_minor_axis,xc,yc,theta,area,perimeter,eccentricity,volume
1a.jpg,382.6,325.89,808.68,1460.16,2.02,391706.02,2229.34,0.52,80
1b.jpg,399.04,363.09,720.77,1344.52,2.28,455177.67,2395.63,0.41,80
3a.jpg,420.33,404.27,829.28,1584.75,0.77,533844.4,2590.81,0.27,130
3b.jpg,429.52,410.53,944.84,1594.39,2.91,553959.56,2639.43,0.29,130
3c.jpg,416.05,396.16,959.69,1544.08,0.71,517808.35,2552.02,0.31,130
3d.jpg,455.51,398.93,922.37,1785.94,0.38,570875.13,2687.24,0.48,130
3e.jpg,422.01,412.7,854.55,1821.73,1.56,547149.01,2622.4,0.21,130
3f.jpg,418.95,402.53,859.57,1743.29,2.32,529793.97,2581.0,0.28,130
3g.jpg,431.45,411.78,686.82,1751.74,0.77,558149.98,2649.46,0.3,130
3h.jpg,457.89,410.95,709.66,1729.87,0.82,591163.45,2731.56,0.44,130
3i.jpg,447.41,420.43,798.97,1750.07,0.04,590935.52,2727.03,0.34,130
4a.jpg,497.02,481.51,861.84,1593.45,3.09,751857.67,3074.36,0.25,200
4b.jpg,510.82,476.55,833.11,1609.27,3.09,764763.74,3102.85,0.36,200
4c.jpg,503.66,488.2,782.37,1580.88,0.09,772488.55,3116.23,0.25,200
4d.jpg,501.99,482.48,1003.56,1590.56,0.03,760907.05,3093.13,0.28,200
4e.jpg,493.72,470.9,911.23,1578.4,0.54,730384.81,3030.84,0.3,200
4f.jpg,497.39,469.69,950.02,1582.58,0.69,733932.02,3038.79,0.33,200
5a.jpg,508.31,467.79,908.86,1592.12,2.55,747016.35,3067.83,0.39,250
5b.jpg,517.32,464.36,967.16,1650.12,2.89,754681.6,3086.28,0.44,250
5c.jpg,519.61,469.96,799.64,1643.0,3.13,767174.29,3110.8,0.43,250
5d.jpg,510.29,480.58,922.73,1592.71,0.29,770440.34,3113.63,0.34,250
5e.jpg,515.44,476.51,964.99,1666.59,0.5,771622.48,3117.52,0.38,250
5f.jpg,495.78,469.44,836.58,1579.6,0.58,731176.94,3032.91,0.32,250
5g.jpg,501.79,481.97,850.82,1617.69,2.47,759786.28,3090.89,0.28,250
5h.jpg,490.64,459.62,932.28,1538.61,2.64,708457.02,2986.13,0.35,250
5i.jpg,506.03,475.53,986.28,1441.26,1.27,755960.18,3084.39,0.34,250
6a.jpg,577.33,524.1,854.53,1661.88,1.78,950576.41,3462.26,0.42,240
6b.jpg,578.16,523.11,837.58,1736.6,1.96,950143.08,3461.9,0.43,240
6c.jpg,596.89,547.4,921.26,1796.08,1.87,1026484.08,3596.59,0.4,240
6d.jpg,591.08,564.21,881.13,1850.47,0.03,1047703.97,3629.95,0.3,240
6e.jpg,586.53,540.89,882.37,1694.31,1.03,996663.08,3543.34,0.39,240
6f.jpg,590.22,522.33,856.58,1607.34,1.4,968516.45,3498.43,0.47,240
6g.jpg,562.71,557.4,933.85,1608.61,1.8,985369.77,3518.94,0.14,240
6h.jpg,586.02,576.03,866.35,1508.15,2.12,1060493.69,3650.76,0.18,240
7a.jpg,556.93,531.55,810.47,1781.7,0.82,930023.29,3420.02,0.3,230
7b.jpg,556.29,512.81,827.72,1760.86,0.44,896204.4,3360.06,0.39,230
7c.jpg,564.96,528.57,749.0,1832.44,2.44,938143.26,3436.37,0.35,230
7d.jpg,552.04,545.04,703.59,1747.19,2.96,945269.45,3446.64,0.16,230
7e.jpg,566.36,529.28,815.36,1804.83,2.32,941728.17,3443.03,0.36,230
7f.jpg,544.45,515.03,682.49,1801.3,3.04,880932.02,3329.1,0.32,230
7g.jpg,565.49,526.84,682.14,1785.61,0.97,935949.72,3432.73,0.36,230
7h.jpg,562.58,540.55,642.93,1835.37,2.6,955369.07,3465.94,0.28,230
7i.jpg,543.13,530.23,782.19,1873.91,2.16,904736.87,3372.2,0.22,230
8a.jpg,422.26,418.09,864.21,1455.07,2.97,554617.54,2640.04,0.14,130
8b.jpg,471.99,420.08,986.76,1621.77,3.13,622888.15,2804.88,0.46,130
8c.jpg,472.31,420.97,985.84,1622.49,3.14,624644.26,2808.66,0.45,130
8d.jpg,458.89,416.39,863.13,1647.55,0.32,600281.63,2751.38,0.42,130
8e.jpg,454.76,423.8,703.37,1633.69,0.29,605481.83,2760.96,0.36,130
8f.jpg,466.98,423.14,767.06,1691.91,0.15,620778.3,2798.1,0.42,130
8g.jpg,467.11,424.44,765.33,1692.58,0.16,622855.81,2802.5,0.42,130
8h.jpg,473.13,424.74,704.37,1672.76,0.25,631315.62,2822.77,0.44,130
8i.jpg,439.46,432.3,884.87,1460.69,1.21,596836.9,2738.76,0.18,130
8j.jpg,471.85,419.07,953.56,1625.81,0.04,621202.92,2801.34,0.46,130
9a.jpg,551.71,484.44,682.83,1890.02,2.77,839662.2,3258.61,0.48,170
9b.jpg,549.69,449.46,584.68,1903.7,2.99,776168.83,3146.82,0.58,170
9c.jpg,532.29,485.93,550.87,1891.36,0.44,812593.42,3200.5,0.41,170
9d.jpg,546.1,474.68,628.6,1818.6,0.53,814368.33,3210.79,0.49,170
9e.jpg,544.33,475.38,544.04,1781.71,0.05,812931.47,3207.18,0.49,170
9g.jpg,539.22,482.15,815.99,1794.81,2.73,816770.9,3211.24,0.45,170
9h.jpg,496.73,465.43,792.09,1650.37,2.41,726322.75,3023.53,0.35,170
9i.jpg,503.95,473.45,813.04,1617.01,0.02,749578.3,3071.36,0.34,170
10a.jpg,534.7,475.43,719.39,1730.65,1.19,798633.39,3176.15,0.46,160
10b.jpg,508.3,484.66,826.31,1697.6,2.05,773941.95,3119.92,0.3,160
10c.jpg,517.4,483.03,728.41,1668.83,1.85,785138.5,3143.86,0.36,160
